更新时间: 2026-02-16 18:35:50（北京时间）

更新时间,#genre#
2026-02-16 18:35:50,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
金鹰纪实,http://117.82.88.137:5555/rtp/239.49.8.79:8000$江苏电信
金鹰纪实,http://59.175.8.151:4022/rtp/239.69.1.109:10292$湖北电信
金鹰纪实,http://106.59.2.102:55555/rtp/239.200.201.126:8840$云南电信
纪实科教,http://106.118.75.108:4022/rtp/239.254.200.188:6311$河北省电信
魅力足球,http://117.82.88.137:5555/rtp/239.49.1.179:6000$江苏电信
快乐垂钓,http://59.175.8.151:4022/rtp/239.69.1.142:10488$湖北电信
快乐垂钓,http://106.59.2.102:55555/rtp/239.200.200.103:8400$云南电信
茶频道,http://106.118.75.108:4022/rtp/239.254.200.228:6258$河北省电信
茶频道,http://59.175.8.151:4022/rtp/239.69.1.144:10500$湖北电信
茶频道,http://106.59.2.102:55555/rtp/239.200.201.36:8404$云南电信
先锋乒羽,http://106.59.2.102:55555/rtp/239.200.201.33:4120$云南电信
汽摩,http://106.59.2.102:55555/rtp/239.200.200.98:8052$云南电信
梨园频道,http://106.118.75.108:4022/rtp/239.254.201.231:7228$河北省电信
梨园频道,http://117.82.88.137:5555/rtp/239.49.8.193:8000$江苏电信
梨园频道,http://59.175.8.151:4022/rtp/239.69.1.33:9838$湖北电信
梨园频道,http://106.59.2.102:55555/rtp/239.200.200.101:8048$云南电信
文物宝库,http://117.82.88.137:5555/rtp/239.49.0.209:8000$江苏电信
文物宝库,http://106.59.2.102:55555/rtp/239.200.200.96:8112$云南电信
武术世界,http://117.82.88.137:5555/rtp/239.49.0.205:8000$江苏电信
武术世界,http://59.175.8.151:4022/rtp/239.69.1.47:9922$湖北电信
武术世界,http://106.59.2.102:55555/rtp/239.200.200.90:8064$云南电信
乐游,http://106.118.75.108:4022/rtp/239.254.201.200:6356$河北省电信
乐游,http://117.82.88.137:5555/rtp/239.49.1.173:6000$江苏电信
生活时尚,http://106.118.75.108:4022/rtp/239.254.201.166:6359$河北省电信
生活时尚,http://117.82.88.137:5555/rtp/239.49.1.181:6000$江苏电信
都市剧场,http://106.118.75.108:4022/rtp/239.254.201.167:6360$河北省电信
都市剧场,http://117.82.88.137:5555/rtp/239.49.1.170:6000$江苏电信
欢笑剧场,http://106.118.75.108:4022/rtp/239.254.201.164:6355$河北省电信
游戏风云,http://117.82.88.137:5555/rtp/239.49.1.177:6000$江苏电信
金色学堂,http://106.118.75.108:4022/rtp/239.254.201.182:7227$河北省电信
动漫秀场,http://106.118.75.108:4022/rtp/239.254.201.165:6358$河北省电信
动漫秀场,http://117.82.88.137:5555/rtp/239.49.1.171:6000$江苏电信
新动漫,http://106.59.2.102:55555/rtp/239.200.201.32:4120$云南电信
卡酷少儿,http://59.175.8.151:4022/rtp/239.69.1.193:10800$湖北电信
卡酷少儿,http://106.59.2.102:55555/rtp/239.200.200.64:8324$云南电信
金鹰卡通,http://106.118.75.108:4022/rtp/239.254.200.92:9252$河北省电信
金鹰卡通,http://117.82.88.137:5555/rtp/239.49.8.33:8000$江苏电信
金鹰卡通,http://59.175.8.151:4022/rtp/239.69.1.248:11130$湖北电信
金鹰卡通,http://106.59.2.102:55555/rtp/239.200.200.65:8328$云南电信
优漫卡通,http://117.82.88.137:5555/rtp/239.49.8.119:8000$江苏电信

湖北,#genre#
湖北公共新闻,http://59.175.8.151:4022/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://59.175.8.151:4022/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://59.175.8.151:4022/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://59.175.8.151:4022/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://59.175.8.151:4022/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://59.175.8.151:4022/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://59.175.8.151:4022/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://59.175.8.151:4022/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://59.175.8.151:4022/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://59.175.8.151:4022/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://59.175.8.151:4022/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://59.175.8.151:4022/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://59.175.8.151:4022/rtp/239.69.1.34:9844$湖北电信
房县综合,http://59.175.8.151:4022/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://59.175.8.151:4022/rtp/239.69.1.245:11112$湖北电信

